,overall
966,5
971,5
974,5
975,5
976,5
979,5
980,5
981,4
982,5
983,5
987,3
988,4
991,5
992,3
995,5
996,5
997,4
998,4
999,5
1021,4
1025,5
1026,5
1027,5
1045,4
1046,5
1051,3
1065,5
1074,3
1075,5
1089,4
1093,5
1096,5
1097,1
1117,1
1124,5
1126,4
1127,4
1139,5
1146,3
1149,5
1161,5
1164,4
1165,5
1168,4
1187,5
1190,4
1193,5
1204,1
1211,4
1213,5
1221,5
1227,5
1229,5
1245,4
1250,3
1258,5
1260,4
1270,5
1274,4
1281,5
1285,4
1287,1
1294,3
1300,3
1304,5
1320,4
1350,5
1356,5
1362,5
1369,4
1372,4
1381,5
1399,5
1409,5
1418,5
1434,5
1441,1
1446,5
1447,5
1454,4
1455,5
1457,5
1458,5
1461,5
1471,5
1481,5
1482,5
1484,5
1485,5
1489,5
1490,5
1491,3
1497,4
1498,4
1507,5
1511,1
1513,5
1514,5
1520,5
1522,5
1530,5
1531,5
1537,5
1546,5
1548,5
1550,5
1551,5
1556,3
1557,4
1564,5
1572,4
1576,5
1577,5
1578,5
1579,5
1580,5
1581,5
1585,3
1586,5
1590,4
1593,2
1599,4
1600,5
1603,5
1606,4
1608,1
1614,5
1616,5
1617,5
1618,5
1623,4
1624,5
1625,5
1627,5
1628,5
1629,2
1630,4
1634,3
1635,5
1648,3
1666,4
1678,4
1680,3
1684,5
1685,2
1687,1
1691,5
1692,3
1698,5
1700,5
1701,4
1702,3
1703,4
1708,2
1709,5
1716,5
1725,3
1734,4
1735,5
1736,2
1737,4
1738,4
1742,5
1748,3
1760,5
1761,5
1763,5
1770,2
1771,5
1772,2
1774,5
1776,5
1778,5
1779,5
1780,1
1782,3
1784,4
1800,3
1801,5
1812,5
1813,3
1815,5
1819,4
1822,5
1823,3
1824,5
1827,5
1840,4
1841,5
1842,4
1843,5
1848,5
1855,4
1862,5
1864,5
1877,5
1878,4
1879,5
1880,5
1881,5
1882,5
1887,5
1888,5
1891,5
1893,4
1896,3
1900,5
1901,5
1903,5
1906,5
1907,5
1908,5
1910,4
1912,5
1913,5
1914,4
1921,5
1925,5
1929,2
1930,5
1932,5
1933,5
1943,5
1945,5
1957,5
1960,5
1966,5
1968,5
1971,5
1972,5
1973,5
1974,5
1975,5
1976,5
1978,5
1980,4
1985,5
1986,5
1987,5
1988,4
1989,4
1990,3
1993,5
1995,5
1997,4
1998,5
1999,4
2000,5
2001,4
2002,5
2003,5
2005,5
2006,5
2007,5
2008,5
2009,2
2010,5
2013,5
2021,5
2022,4
2024,4
2025,4
2026,5
2027,5
2029,4
2030,4
2031,5
2032,5
2033,4
2035,5
2036,5
2038,5
2039,5
2042,5
2043,4
2046,5
2049,4
2054,4
2055,5
2057,5
2058,4
2059,5
2060,5
2061,5
2062,4
2063,4
2065,1
2066,5
2067,5
2068,4
2069,5
2070,3
2072,4
2073,4
2077,5
2078,5
2080,5
2081,4
2084,5
2087,5
2088,3
2092,5
2093,4
2094,4
2095,4
2096,1
2097,3
2098,5
2099,5
2100,4
2101,4
2102,4
2103,4
2105,5
2110,4
2112,2
2114,5
2125,5
2127,5
2128,5
2129,5
2130,5
2131,5
2132,5
2133,5
2134,2
2135,5
2136,3
2137,2
2140,5
2141,3
2142,3
2143,3
2146,5
2148,5
2149,5
2150,3
2151,5
2152,3
2153,4
2157,5
2159,3
2160,5
2161,5
2162,2
2164,5
2168,5
2169,1
2170,4
2171,1
2172,4
2173,1
2175,5
2181,5
2185,5
2188,5
2189,5
2190,5
2191,5
2192,5
2198,5
2199,5
2200,3
2202,5
2203,5
2204,5
2205,5
2206,5
2207,5
2209,5
2213,3
2218,4
2220,5
2221,5
2222,5
2223,5
2224,5
2227,5
2229,5
2230,5
2231,5
2232,5
2233,5
2237,5
2238,5
2239,5
2240,5
2241,5
2242,5
2243,5
2246,5
2249,3
2253,5
2254,4
2256,5
2258,5
2262,4
2275,5
2276,4
2277,5
2280,5
2285,5
2287,5
2288,5
2291,5
2294,5
2295,5
2296,5
2297,5
2298,5
2299,5
2300,5
2301,5
2304,5
2305,4
2309,1
2310,1
2311,4
2312,3
2315,1
2317,5
2320,4
2321,5
2322,5
2323,5
2324,5
2325,5
2326,1
2327,4
2329,5
2330,5
2331,5
2332,5
2333,5
2334,5
2335,5
2336,4
2338,3
2339,4
2340,4
2342,5
2344,5
2345,2
2346,2
2347,3
2349,3
2350,5
2352,4
2353,4
2356,5
2357,4
2358,4
2359,5
2360,4
2361,3
2362,5
2363,4
2366,4
2367,5
2368,5
2369,5
2383,4
2390,5
2399,3
2400,4
2401,5
2402,5
2403,4
2404,5
2405,3
2408,2
2409,5
2410,4
2411,5
2413,5
2414,5
2415,4
2416,5
2418,5
2420,5
2429,2
2430,5
2438,5
2440,4
2441,5
2445,1
2448,4
2455,5
2457,3
2465,5
2468,3
2469,5
2470,5
2475,5
2477,5
2478,4
2479,4
2480,4
2487,5
2490,5
2495,5
2497,5
2504,5
2507,5
2509,5
2511,5
2515,4
2516,5
2517,5
2518,5
2519,5
2520,5
2524,5
2525,5
2528,5
2529,5
2530,4
2531,3
2532,4
2535,5
2536,5
2541,5
2542,5
2544,5
2545,5
2547,5
2551,5
2552,5
2555,4
2560,5
2561,5
2562,5
2564,4
2565,5
2566,4
2570,4
2571,5
2572,4
2573,5
2574,5
2575,5
2576,5
2578,5
2579,5
2580,5
2582,5
2583,5
2584,5
2585,3
2586,5
2587,5
2589,5
2592,5
2596,5
2597,5
2603,1
2604,5
2605,4
2606,5
2609,5
2611,5
2612,5
2613,5
2615,5
2620,5
2624,5
2626,5
2627,5
2630,5
2636,5
2641,5
2643,5
2646,5
2649,5
2650,5
2656,5
2662,5
2663,5
2664,4
2668,5
2669,5
2670,5
2671,5
2672,5
2673,5
2675,5
2676,5
2677,5
2678,2
2679,5
2681,5
2682,5
2683,5
2684,4
2686,5
2687,5
2689,4
2693,5
2694,5
2695,5
2697,3
2698,5
2699,4
2700,4
2701,5
2702,4
2703,1
2704,5
2709,4
2711,5
2714,4
2716,4
2719,4
2721,5
2723,5
2727,5
2728,5
2729,4
2730,3
2731,2
2733,5
2734,5
2737,3
2738,5
2739,5
2741,3
2743,5
2744,5
2746,5
2747,5
2748,5
2749,4
2751,5
2753,5
2754,5
2755,5
2756,5
2757,5
2758,5
2759,5
2762,5
2763,4
2764,4
2767,3
2768,5
2769,5
2770,5
2771,5
2773,5
2775,5
2776,4
2777,5
2778,4
2784,3
2786,5
2787,5
2788,2
2789,5
2790,5
2793,5
2795,5
2797,5
2798,5
2799,3
2800,4
2801,5
2803,5
2804,5
2805,5
2812,5
2813,5
2822,5
2833,5
2834,4
2839,5
2840,5
2843,5
2848,2
2852,5
2854,4
2855,5
2857,5
2858,5
2868,5
2869,3
2872,5
2873,5
2874,5
2877,5
2879,5
2880,5
2881,5
2883,5
2884,5
2885,3
2890,4
2891,4
2892,5
2902,3
2914,5
2915,5
2916,5
2918,3
2920,1
2923,3
2926,4
2927,5
2928,5
2929,4
2930,4
2931,4
2932,5
2933,4
2936,5
2937,5
2938,4
2939,1
2942,5
2943,5
2945,5
2946,4
2947,5
2948,3
2949,5
2950,5
2951,5
2953,4
2954,5
2957,5
2959,5
2960,5
2961,4
2962,3
2963,4
2966,3
2967,4
2969,4
2970,1
2971,3
2972,5
2973,4
2974,2
2975,5
2976,5
2977,5
2982,5
2984,3
2986,4
2987,4
2989,5
2990,5
2991,5
2998,3
2999,5
3002,5
3003,5
3007,4
3008,5
3009,2
3011,4
3013,5
3014,4
3019,5
3025,5
3026,5
3027,5
3028,5
3029,5
3032,5
3034,5
3035,1
3036,5
3039,4
3044,5
3047,5
3048,5
3049,4
3051,5
3053,2
3057,1
3060,5
3065,5
3066,5
3068,3
3073,4
3074,2
3076,2
3078,4
3079,4
3081,4
3086,4
3087,3
3088,3
3089,5
3092,4
3093,4
3094,5
3095,5
3096,1
3097,3
3098,5
3099,5
3100,5
3102,5
3103,5
3105,5
3107,3
3109,5
3110,4
3111,5
3113,5
3114,5
3116,4
3118,5
3119,3
3123,4
3129,4
3131,5
3135,5
3139,5
3140,5
3141,4
3143,3
3144,4
3145,3
3146,4
3147,5
3148,5
3151,4
3152,5
3153,5
3160,4
3182,4
3191,5
3197,5
3199,5
3201,5
3202,4
3203,4
3205,5
3209,5
3210,5
3211,4
3212,5
3218,5
3222,4
3223,5
3224,4
3226,4
3229,5
3230,5
3231,4
3232,2
3237,1
3238,3
3240,4
3242,5
3243,5
3244,3
3245,5
3246,4
3247,5
3248,5
3251,3
3252,5
3253,5
3255,5
3257,5
3258,5
3259,5
3262,4
3264,5
3265,5
3267,5
3269,4
3270,5
3273,5
3274,5
3275,5
3276,5
3277,5
3279,5
3280,4
3285,5
3286,5
3287,5
3288,5
3289,5
3290,5
3291,5
3292,5
3293,5
3301,5
3306,4
3308,5
3309,5
3315,5
3316,5
3319,5
3321,5
3324,5
3325,5
3329,5
3335,4
3337,5
3340,5
3342,4
3346,1
3347,5
3349,3
3350,5
3354,5
3355,5
3357,5
3360,5
3362,5
3363,2
3367,5
3369,5
3372,5
3374,5
3376,4
3377,3
3379,5
3382,5
3383,5
3384,1
3387,5
3388,4
3389,5
3390,5
3391,5
3392,5
3393,5
3394,5
3395,5
3396,5
3398,3
3399,5
3400,5
3401,5
3402,5
3403,5
3405,4
3407,4
3410,5
3412,5
3415,5
3418,3
3423,4
3424,5
3427,5
3429,5
3430,4
3431,5
3432,2
3433,4
3434,4
3435,5
3436,5
3437,5
3438,5
3440,4
3441,5
3442,3
3443,5
3444,4
3445,1
3446,5
3449,5
3450,5
3451,5
3452,5
3453,5
3456,4
3457,4
3458,5
3459,5
3460,5
3461,4
3463,5
3464,3
3465,5
3466,4
3467,2
3470,3
3471,5
3472,5
3473,5
3476,5
3477,5
3478,5
3481,5
3483,5
3484,5
3485,5
3488,4
3489,5
3490,4
3492,5
3493,5
3494,5
3495,5
3496,5
3498,5
3502,5
3506,5
3508,5
3511,5
3514,5
3517,5
3519,5
3521,2
3522,5
3523,5
3529,5
3530,5
3532,5
3534,5
3535,5
3536,4
3537,5
3538,5
3539,5
3540,5
3541,5
3542,5
3544,5
3545,5
3546,5
3547,5
3548,5
3549,4
3550,5
3551,5
3552,5
3553,5
3555,5
3560,5
3561,4
3562,2
3564,4
3565,3
3568,5
3569,5
3578,5
3582,3
3583,5
3588,5
3589,4
3591,4
3592,5
3593,3
3594,5
3595,5
3596,4
3601,5
3602,5
3604,2
3606,4
3607,5
3608,5
3611,4
3613,5
3614,5
3615,5
3616,4
3617,5
3618,5
3619,4
3620,4
3621,4
3622,5
3623,1
3624,5
3626,5
3630,5
3631,5
3632,5
3633,5
3634,5
3635,4
3636,3
3637,5
3638,4
3639,4
3641,4
3642,5
3643,5
3644,5
3645,4
3646,3
3647,1
3648,5
3657,5
3660,4
3664,3
3665,5
3666,5
3673,5
3675,4
3677,4
3678,4
3679,5
3683,4
3684,3
3686,4
3688,5
3690,5
3692,5
3693,5
3698,4
3702,2
3708,3
3709,5
3710,4
3711,5
3713,5
3719,3
3722,5
3725,3
3726,4
3731,4
3733,3
3734,4
3738,5
3740,3
3741,4
3744,4
3745,4
3746,4
3750,5
3753,5
3755,2
3756,1
3757,5
3758,5
3759,5
3764,2
3776,5
3778,3
3783,5
3784,5
3785,5
3788,4
3797,4
3798,3
3800,5
3802,5
3803,5
3804,5
3805,4
3807,4
3811,4
3814,5
3815,5
3816,5
3818,5
3819,4
3820,5
3821,5
3824,5
3826,5
3828,2
3831,3
3834,5
3835,5
3836,2
3839,5
3841,5
3842,5
3845,5
3846,3
3852,5
3854,5
3855,5
3865,4
3872,5
3874,4
3875,4
3879,5
3882,5
3885,2
3894,3
3895,3
3899,5
3900,5
3901,5
3904,5
3907,4
3908,5
3911,4
3920,4
3921,3
3923,5
3925,5
3926,4
3934,4
3939,5
3941,5
3945,5
3946,5
3947,5
3949,5
3950,4
3952,3
3958,5
3959,4
3960,4
3961,5
3962,3
3963,5
3973,5
3975,5
3976,4
3984,5
3988,4
3989,5
3993,5
3997,5
3999,4
4001,5
4004,5
4006,5
4008,3
4010,5
4015,5
4016,4
4019,5
4022,5
4023,5
4024,5
4025,4
4026,5
4027,4
4028,5
4032,5
4033,5
4038,5
4041,5
4042,5
4043,5
4044,4
4045,4
4049,4
4052,5
4057,4
4062,4
4063,3
4065,5
4066,5
4068,4
4070,5
4072,3
4078,5
4080,5
4084,5
4086,5
4087,4
4088,5
4090,4
4093,5
4094,4
4097,5
4100,2
4101,5
4103,5
4110,2
4113,5
4114,5
4117,5
4118,5
4119,5
4120,1
4131,5
4136,5
4137,5
4138,5
4139,5
4142,5
4145,5
4146,5
4152,3
4153,5
4154,5
4156,5
4157,5
4159,5
4160,5
4166,5
4167,4
4168,5
4169,5
4181,5
4182,5
4184,5
4185,5
4186,5
4187,5
4188,5
4189,5
4193,5
4194,5
4196,5
4198,5
4199,5
4200,3
4201,4
4202,5
4205,3
4212,5
4213,5
4215,5
4216,4
4226,5
4228,5
4233,4
4234,5
4235,5
4236,5
4242,5
4247,5
4252,5
4255,5
4259,5
4260,5
4261,2
4262,5
4265,5
4267,4
4268,4
4269,2
4272,5
4273,5
4274,5
4275,5
4276,5
4277,5
4279,3
4281,5
4293,5
4294,5
4295,5
4296,4
4298,3
4299,5
4300,5
4301,5
4304,5
4305,5
4306,5
4307,5
4308,5
4312,3
4313,5
4317,4
4318,5
4319,5
4321,5
4322,4
4323,5
4326,5
4329,1
4330,5
4331,4
4336,5
4338,5
4339,5
4340,5
4341,5
4343,4
4344,4
4345,5
4348,5
4349,4
4350,5
4351,5
4352,5
4355,5
4357,5
4358,4
4361,5
4362,5
4364,5
4365,3
4368,5
4373,5
4374,5
4375,5
4377,2
4379,5
4382,5
4383,3
4384,5
4387,3
4389,5
4390,4
4392,5
4393,5
4395,2
4396,5
4398,5
4399,3
4401,4
4403,4
4404,5
4405,4
4406,4
4408,5
4415,5
4419,5
4420,5
4421,5
4424,4
4426,5
4431,3
4433,5
4434,5
4447,5
4462,5
4463,5
4466,2
4467,4
4469,5
4478,5
4480,4
4481,5
4482,5
4483,5
4484,4
4485,3
4486,5
4488,3
4490,5
4491,5
4500,5
4501,5
4503,5
4509,5
4510,5
4512,5
4515,3
4517,3
4518,5
4525,5
4526,3
4528,4
4529,5
4531,5
4532,5
4534,4
4535,5
4536,4
4544,5
4550,5
4552,5
4554,5
4560,5
4563,5
4568,5
4569,5
4570,1
4574,4
4575,5
4578,4
4579,3
4580,5
4581,1
4584,4
4588,1
4590,5
4591,4
4593,5
4598,5
4602,5
4606,4
4614,5
4616,5
4618,4
4619,3
4623,5
4625,5
4632,3
4634,4
4635,5
4638,5
4639,3
4642,5
4650,2
4651,4
4657,5
4658,1
4660,4
4662,5
4667,5
4671,4
4674,5
4675,5
4676,5
4677,5
4683,3
4685,5
4688,1
4690,4
4692,5
4693,3
4694,3
4696,5
4701,4
4702,5
4703,5
4704,5
4708,5
4709,4
4713,5
4714,5
4716,5
4717,5
4721,5
4723,5
4725,4
4726,5
4731,5
4734,3
4735,4
4736,1
4739,5
4741,5
4744,1
4757,5
4762,5
4765,5
4770,5
4773,4
4787,5
4788,1
4789,3
4790,5
4791,5
4793,5
4809,5
4815,2
4817,5
4819,5
4822,4
4823,5
4832,5
4844,1
4851,2
4852,4
4856,4
4859,4
4862,4
4865,4
4867,3
4868,5
4871,5
4877,5
4878,4
4882,5
4886,5
4887,4
4888,3
4893,5
4896,5
4897,5
4898,2
4900,5
4908,3
4912,4
4915,4
4917,5
4918,5
4919,5
4920,5
4927,5
4936,5
4937,5
4938,3
4939,5
4940,5
4953,5
4954,5
4957,4
4958,1
4960,5
4962,1
4968,5
4969,5
4970,5
4971,5
4972,5
4973,5
4974,5
4977,5
4983,5
4985,5
4986,5
4987,5
4988,4
4989,5
4992,5
4994,5
4997,5
5001,5
5008,3
5009,2
5010,5
5013,5
5016,5
5017,5
5019,4
5022,5
5023,5
5028,3
5029,5
5030,5
5032,5
5035,5
5038,2
5040,4
5041,5
5045,1
5046,5
5060,5
5062,5
5063,5
5064,5
5065,5
5068,5
5071,4
5073,5
5074,5
5076,4
5077,5
5078,5
5079,5
5080,5
5087,5
5092,5
5093,5
5094,5
5095,5
5099,5
5101,5
5102,5
5106,5
5110,5
5112,3
5114,4
5115,5
5116,5
5117,5
5118,3
5119,2
5121,4
5123,4
5125,4
5126,4
5127,5
5131,5
5133,4
5134,4
5135,5
5136,5
5140,2
5141,5
5142,5
5143,5
5145,5
5147,5
5150,3
5151,5
5152,5
5154,5
5163,5
5165,5
5166,5
5172,4
5173,5
5175,4
5176,1
5179,3
5180,5
5183,3
5189,5
5192,3
5193,5
5202,5
5205,1
5208,5
5209,5
5210,5
5212,5
5213,5
5214,4
5216,5
5218,5
5220,4
5221,5
5223,4
5224,5
5226,5
5227,5
5229,5
5233,4
5235,3
5236,5
5240,3
5242,5
5243,5
5244,5
5246,5
5247,5
5248,5
5251,5
5252,5
5258,5
5260,5
5262,5
5263,5
5264,5
5272,3
5274,2
5275,4
5277,5
5278,5
5283,4
5284,4
5285,5
5287,5
5289,5
5292,5
5297,3
5298,4
5300,5
5301,5
5302,4
5317,5
5318,1
5319,4
5320,5
5321,5
5322,5
5323,5
5329,4
5330,5
5331,5
5332,5
5333,3
5334,4
5335,4
5338,5
5341,4
5348,1
5349,3
5350,3
5355,5
5357,5
5358,4
5361,5
5362,5
5365,4
5368,3
5369,5
5371,3
5372,3
5373,4
5375,4
5378,5
5380,4
5383,5
5384,5
5387,4
5389,4
5390,5
5391,2
5392,3
5395,5
5398,4
5403,4
5404,5
5405,4
5407,5
5408,4
5409,4
5410,4
5411,5
5413,2
5415,5
5420,5
5421,5
5422,5
5423,4
5426,5
5428,4
5429,1
5430,1
5431,5
5432,5
5433,5
5434,5
5435,5
5436,5
5442,5
5444,4
5445,4
5446,5
5448,5
5449,5
5450,5
5455,5
5457,4
5458,5
5460,5
5462,5
5465,5
5466,5
5467,2
5468,5
5469,4
5470,4
5473,5
5474,5
5475,5
5476,5
5478,5
5479,5
5483,4
5484,3
5485,5
5486,5
5490,5
5491,4
5492,1
5494,5
5495,4
5497,5
5499,5
5500,4
5505,5
5506,1
5510,4
5514,3
5522,5
5523,5
5524,5
5525,5
5526,5
5527,5
5529,2
5530,4
5535,5
5536,5
5537,5
5539,5
5540,4
5541,5
5544,5
5545,5
5546,5
5548,5
5550,5
5551,5
5553,3
5557,5
5560,3
5563,5
5564,5
5566,2
5569,4
5570,4
5571,5
5572,5
5575,5
5576,5
5578,3
5579,5
5581,5
5585,5
5587,4
5588,5
5591,5
5595,2
5596,5
5599,3
5602,5
5603,2
5607,5
5608,5
5610,4
5611,5
5613,5
5614,5
5618,4
5619,5
5625,5
5626,5
5627,5
5628,3
5629,5
5630,4
5633,5
5636,5
5637,1
5638,4
5639,3
5640,5
5641,5
5642,5
5643,5
5646,4
5647,4
5648,5
5649,5
5652,5
5654,2
5657,5
5658,4
5659,5
5660,5
5662,4
5664,5
5667,4
5668,4
5669,3
5671,5
5674,5
5675,5
5679,4
5680,5
5681,5
5682,5
5684,3
5686,4
5688,5
5692,5
5694,5
5695,5
5696,5
5699,5
5700,4
5701,5
5703,3
5706,2
5707,4
5708,3
5709,5
5710,5
5712,4
5713,5
5716,5
5718,4
5719,5
5720,5
5722,4
5723,4
5724,4
5725,5
5726,5
5727,5
5730,5
5733,2
5734,5
5735,5
5736,4
5738,4
5740,4
5741,5
5742,2
5745,5
5747,4
5749,3
5750,5
5751,4
5752,4
5753,5
5754,5
5757,5
5758,5
5759,5
5760,5
5761,5
5765,3
5767,5
5795,5
5796,5
5799,4
5800,4
5803,4
5805,5
5806,5
5810,5
5814,5
5820,5
5821,3
5822,5
5827,5
5828,5
5829,1
5830,5
5832,3
5833,5
5834,5
5836,5
5840,5
5842,5
5843,5
5844,5
5848,4
5852,5
5853,5
5857,4
5858,4
5859,5
5862,5
5864,4
5865,3
5869,5
5871,5
5874,5
5875,5
5876,3
5877,4
5882,4
5887,4
5888,4
5890,5
5891,4
5892,5
5895,3
5896,5
5901,5
5902,5
5903,5
5904,4
5905,5
5913,5
5914,5
5915,5
5916,4
5917,5
5918,5
5921,2
5922,5
5927,4
5928,5
5932,5
5937,4
5941,3
5942,5
5943,4
5944,5
5946,5
5947,4
5948,3
5950,5
5951,5
5953,5
5956,3
5957,4
5964,5
5965,5
5968,5
5973,5
5975,4
5978,5
5979,5
5981,4
5983,5
5986,5
5988,5
5990,5
5992,4
5993,5
5995,4
6000,4
6003,5
6007,4
6008,5
6009,3
6010,5
6016,5
6018,5
6021,5
6028,5
6033,5
6034,3
6039,5
6040,5
6044,5
6046,5
6047,5
6050,2
6051,4
6053,4
6054,5
6055,4
6057,5
6059,5
6061,5
6063,4
6064,5
6065,5
6066,5
6067,5
6068,5
6069,5
6075,5
6076,5
6083,5
6085,4
6087,1
6088,4
6091,5
6092,5
6093,5
6097,5
6105,5
6106,4
6107,5
6108,2
6112,5
6113,4
6114,5
6115,4
6117,5
6118,4
6119,5
6124,5
6129,5
6132,5
6136,5
6139,5
6140,1
6141,5
6143,4
6147,5
6148,5
6149,5
6150,5
6151,4
6152,5
6154,5
6155,5
6157,5
6159,5
6160,5
6161,5
6162,5
6166,4
6171,2
6176,5
6178,5
6179,5
6185,5
6193,5
6197,2
6198,5
6199,5
6203,5
6204,5
6209,5
6210,5
6213,4
6215,5
6216,5
6217,4
6218,4
6219,5
6220,5
6223,5
6228,5
6232,5
6234,5
6236,4
6240,5
6241,4
6242,4
6243,5
6249,5
6250,3
6251,4
6256,3
6257,5
6258,4
6259,4
6260,5
6261,5
6267,5
6269,4
6271,4
6274,4
6275,5
6281,5
6284,5
6286,5
6287,4
6288,5
6289,5
6290,5
6291,5
6292,2
6300,4
6303,5
6304,5
6305,2
6306,5
6310,5
6311,4
6315,4
6320,5
6321,5
6322,5
6323,5
6324,5
6327,5
6329,5
6330,5
6332,1
6333,5
6337,5
6339,4
6340,5
6342,5
6343,5
6344,5
6345,5
6346,5
6347,4
6348,5
6349,5
6354,5
6357,5
6359,5
6360,5
6364,2
6367,4
6368,4
6369,5
6370,4
6376,5
6377,4
6378,5
6379,5
6382,4
6384,5
6387,5
6390,2
6391,5
6392,5
6399,4
6400,4
6401,3
6402,5
6406,5
6410,5
6411,5
6413,3
6414,5
6415,4
6420,5
6421,5
6422,3
6423,5
6426,4
6427,5
6428,5
6429,5
6436,4
6437,5
6441,4
6446,5
6447,4
6449,4
6450,5
6457,5
6458,5
6459,5
6461,1
6462,5
6463,5
6465,1
6466,5
6468,5
6473,5
6476,4
6481,5
6485,5
6486,3
6488,4
6490,5
6491,5
6492,5
6493,5
6494,5
6496,5
6497,4
6498,5
6500,2
6501,4
6504,2
6505,3
6507,5
6508,5
6509,4
6512,5
6513,4
6516,1
6517,5
6518,5
6519,5
6521,5
6525,3
6528,5
6529,4
6531,5
6534,5
6535,4
6536,5
6540,4
6541,5
6542,5
6543,5
6544,4
6545,4
6546,2
6547,2
6548,2
6553,5
6554,5
6555,5
6557,5
6559,5
6560,3
6561,3
6562,3
6563,4
6564,3
6565,4
6566,5
6567,5
6569,5
6570,4
6571,5
6572,4
6573,5
6574,5
6575,5
6576,5
6577,4
6578,3
6586,4
6590,5
6592,5
6594,5
6596,1
6597,5
6599,5
6604,5
6608,4
6610,5
6614,5
6617,5
6618,3
6619,5
6621,5
6624,5
6625,2
6627,5
6628,3
6631,5
6634,5
6635,3
6636,4
6637,5
6638,5
6640,5
6644,5
6648,5
6649,5
6650,5
6654,1
6655,5
6657,5
6659,3
6661,5
6662,4
6663,5
6664,5
6665,5
6667,5
6668,5
6671,5
6675,5
6676,5
6677,5
6678,4
6685,4
6686,5
6687,5
6688,5
6689,5
6701,3
6702,5
6703,5
6707,5
6712,5
6713,5
6715,5
6716,5
6722,5
6725,5
6728,5
6730,5
6734,5
6736,5
6739,4
6740,5
6741,3
6742,4
6744,5
6746,5
6747,4
6749,5
6750,4
6751,4
6752,4
6757,4
6760,5
6761,5
6762,1
6763,4
6765,5
6768,5
6769,5
6770,5
6772,5
6773,5
6776,4
6778,5
6779,5
6780,4
6785,5
6786,3
6788,5
6791,3
6794,5
6796,5
6797,5
6798,4
6799,5
6800,5
6802,5
6804,5
6805,5
6806,5
6807,2
6808,5
6809,5
6811,4
6812,4
6813,5
6814,5
6815,5
6816,3
6817,5
6818,5
6819,5
6820,5
6822,5
6825,5
6826,5
6827,2
6828,5
6830,4
6831,5
6832,5
6833,5
6834,4
6836,4
6841,5
6842,3
6843,5
6846,5
6847,5
6849,3
6851,5
6852,1
6853,4
6857,4
6859,5
6860,3
6864,5
6865,5
6866,5
6867,4
6870,1
6875,5
6876,4
6877,5
6879,3
6882,5
6883,5
6884,5
6885,5
6886,5
6888,5
6889,5
6890,5
6894,5
6896,5
6897,4
6899,5
6900,1
6906,5
6907,5
6908,4
6909,3
6912,4
6913,5
6916,5
6917,5
6922,3
6925,5
6926,4
6927,5
6930,5
